股票代码,股票名称,最新日期,最新价格,最新净资产价格,最新价格与净资产比值,最新季度每股收益,市盈率
601088,中国神华,2015-07-08,18.78,14.98,1.254,0.286,16.416
601098,中南传媒,2015-07-08,18.55,5.9188,3.134,0.16,28.984
601099,太平洋,2015-07-08,9.55,1.8469,5.171,0.078,30.609
601100,恒立油缸,2015-07-06,14.05,5.4774,2.565,0.01,351.25
601101,XD昊华能,2015-07-08,6.79,5.68,1.195,0.02,84.875
601106,中国一重,2015-07-08,7.66,2.5199,3.04,-0.0442,-43.326
601107,四川成渝,2015-07-08,4.26,3.9416,1.081,0.0938,11.354
601111,中国国航,2015-06-29,15.36,4.2852,3.584,0.14,27.429
601113,华鼎股份,2015-07-07,6.01,2.5546,2.353,-0.03,-50.083
601116,三江购物,2015-07-08,7.66,3.9554,1.937,0.0684,27.997
601117,中国化学,2015-07-08,7.22,4.9056,1.472,0.11,16.409
601118,海南橡胶,2015-07-07,5.99,2.2572,2.654,-0.028,-53.482
601126,四方股份,2015-07-07,25.85,8.482,3.048,0.0238,271.534
601137,博威合金,2015-07-08,15.42,9.3792,1.644,0.11,35.045
601139,深圳燃气,2015-07-08,7.74,2.8006,2.764,0.06,32.25
601158,重庆水务,2015-07-08,8.54,2.826,3.022,0.07,30.5
601166,兴业银行,2015-07-08,15.51,14.33,1.082,0.78,4.971
601168,西部矿业,2015-07-08,6.04,4.7553,1.27,-0.02,-75.5
601169,北京银行,2015-07-08,11.4,9.4931,1.201,0.47,6.064
601177,杭齿前进,2015-07-08,6.9,4.3525,1.585,0.0126,136.905
601179,中国西电,2015-07-08,6.77,3.5452,1.91,0.0317,53.391
601186,中国铁建,2015-07-08,15.89,7.644,2.079,0.0,无法计算
601188,龙江交通,2015-07-08,4.16,2.6271,1.583,0.049,21.224
601198,东兴证券,2015-07-08,20.52,5.0281,4.081,0.31,16.548
601199,江南水务,2015-07-06,24.48,8.59,2.85,0.13,47.077
601208,东材科技,2015-07-08,7.17,3.6322,1.974,0.04,44.813
601211,国泰君安,2015-07-08,25.88,8.1754,3.166,0.46,14.065
601216,内蒙君正,2015-07-08,14.21,3.2293,4.4,0.074,48.007
601218,吉鑫科技,2015-07-08,5.35,2.3804,2.248,0.0159,84.119
601222,林洋电子,2015-07-08,25.67,8.521,3.013,0.22,29.17
601225,陕西煤业,2015-07-08,5.63,3.4581,1.628,-0.03,-46.917
601226,华电重工,2015-07-08,12.44,4.6412,2.68,0.0415,74.94
601231,环旭电子,2015-07-08,12.32,5.9491,2.071,0.13,23.692
601233,桐昆股份,2015-07-08,11.23,7.1932,1.561,0.11,25.523
601238,广汽集团,2015-07-08,12.26,5.5709,2.201,0.08,38.313
601258,庞大集团,2015-07-07,3.81,3.7557,1.014,0.01,95.25
601288,农业银行,2015-07-08,3.92,3.21,1.221,0.17,5.765
601299,中国北车,2015-05-06,29.98,4.0638,7.377,0.08,93.688
601311,骆驼股份,2015-06-17,28.28,4.8542,5.826,0.12,58.917
601313,江南嘉捷,2015-07-08,12.29,3.8969,3.154,0.0912,33.69
